trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
97,False,"{'a': 0.5, 'e': 0.10153461651336192}",30,0,38.39020984065577,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.10101525445522107}",20,0,7.646124748576554,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.10050378152592121}",20,0,-11.577351235817602,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.1}",25,0,37.92374385665392,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.09950371902099892}",30,7,22.738338742158085,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.09901475429766744}",20,0,9.525697674938595,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.09853292781642932}",25,0,-35.82987139680568,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.09805806756909202}",25,0,35.26698818549574,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.09759000729485333}",20,0,13.722726236561845,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.09712858623572641}",25,0,7.930009572147091,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.09667364890456635}",25,8,25.665049453222792,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.09622504486493763}",20,0,10.999844894521857,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.09578262852211514}",20,0,-44.2109908698108,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.09534625892455924}",30,0,28.033176644957475,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.0949157995752499}",20,1,25.971138476085965,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.0944911182523068}",20,0,2.8952819869478286,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.09407208683835973}",30,0,41.78657925458209,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.0936585811581694}",25,0,11.52041765184211,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.09325048082403138}",25,0,12.003835776179523,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.09284766908852593}",25,16,14.55087010139838,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.09245003270420485}",20,11,-6.3269535388190725,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.09205746178983235}",25,1,-41.52053682845303,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 1}",1
119,False,"{'a': 0.5, 'e': 0.09166984970282113}",25,8,16.514130848109204,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.09128709291752768}",25,3,18.798024489352137,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.09090909090909091}",20,0,-1.5134961311283748,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.09053574604251853}",25,3,34.56964191257293,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.09016696346674323}",30,4,36.55592887648847,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.08980265101338746}",25,12,2.6084616907775757,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.08944271909999159}",30,15,20.49764827468281,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.0890870806374748}",35,19,23.404503182207335,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.08873565094161139}",20,0,-24.34808563118883,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
128,False,"{'a': 0.5, 'e': 0.08838834764831843}",25,6,5.401330764072202,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.08804509063256238}",20,2,18.05341049492338,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.08770580193070293}",25,18,13.61256254996051,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.0873704056661038}",30,13,30.503343039188778,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.08703882797784893}",25,1,-2.1375976325837365,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 0.5, 'e': 0.086710996952412}",20,8,19.53086192999278,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.08638684255813601}",30,12,11.371775576747964,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.08606629658238704}",20,0,17.460551366304944,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.08574929257125441}",20,7,18.8402847544055,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.0854357657716761}",20,13,11.225235432236449,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.08512565307587486}",25,7,14.039654183010017,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.08481889296799709}",30,16,24.832805684531113,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.08451542547285165}",20,12,15.401041675755863,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.0842151921066519}",25,19,9.609159075883328,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.08391813582966891}",20,2,17.744679815780643,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.08362420100070908}",30,0,1.8490979460190635,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
144,False,"{'a': 0.5, 'e': 0.08333333333333333}",25,0,6.988603869041987,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.08304547985373997}",25,20,7.185666814320067,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.0827605888602368}",20,2,-12.865999112504564,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
147,False,"{'a': 0.5, 'e': 0.08247860988423225}",20,10,17.169669587748462,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.08219949365267865}",20,0,-58.0095024745436,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
149,False,"{'a': 0.5, 'e': 0.08192319205190406}",20,0,4.966185393745114,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.08164965809277261}",25,11,25.197060897111854,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.08137884587711594}",20,11,19.292743889947673,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.08111071056538127}",20,15,11.651922934295232,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.08084520834544433}",20,0,-57.03111309839226,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
154,False,"{'a': 0.5, 'e': 0.08058229640253803}",25,16,2.2535830973937063,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.08032193289024989}",20,9,22.351532111300358,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.08006407690254357}",30,15,25.90294367382227,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.07980868844676221}",30,10,26.316255224433068,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.079555728417573}",20,8,23.33168385366655,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.07930515857181442}",20,11,14.798633502222016,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.07905694150420949}",20,0,19.01171725128169,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.07881104062391006}",25,0,4.7271309171724685,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
162,False,"{'a': 0.5, 'e': 0.07856742013183861}",25,16,5.7510240292343875,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.07832604499879574}",20,0,30.857077946824056,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.07808688094430304}",20,6,24.09635694740843,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.0778498944161523}",20,10,15.592342995235898,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.07761505257063328}",25,11,26.176070681178782,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.07738232325341368}",25,15,20.45603890473119,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.07715167498104596}",20,0,31.724343788059766,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
169,False,"{'a': 0.5, 'e': 0.07692307692307693}",30,14,26.959981170780708,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.07669649888473704}",30,6,41.26991297555089,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.07647191129018725}",20,8,8.293020739713263,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.07624928516630233}",30,16,29.168543583977304,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.07602859212697055}",35,0,52.72835234657932,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
174,False,"{'a': 0.5, 'e': 0.07580980435789034}",20,14,10.595912399181834,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.07559289460184544}",30,9,33.50343099600326,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.07537783614444091}",20,15,6.969811756149873,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.07516460280028289}",20,10,-24.26747801944504,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
178,False,"{'a': 0.5, 'e': 0.07495316889958614}",20,0,32.5262369766949,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
179,False,"{'a': 0.5, 'e': 0.07474350927519359}",25,12,22.53552858589434,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.07453559924999299}",25,13,6.086075418825443,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.07432941462471664}",25,0,21.94138219778301,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
182,False,"{'a': 0.5, 'e': 0.07412493166611012}",20,7,18.74551174327172,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.07392212709545729}",25,0,29.52172696267427,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
184,False,"{'a': 0.5, 'e': 0.07372097807744857}",20,0,1.912666605134568,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
